Name,Mid X,Mid Y,Layer,Rotation
C1,510.05,529,Top,0
C2,510,522.3,Top,0
C3,516.3,507.1,Top,0
C4,516.9,479.9,Top,0
C5,492,530.6,Top,180
C12,472.8,525,Top,0
LED3,483.5,521.7,Top,180
IC3,492,525.5,Top,0
R1,504.5,518.8,Top,0
R2,504.3,528.6,Top,0
R3,504.3,522.2,Top,0
R4,504.3,525.4,Top,0
R5,499.65,528.6,Top,0
R6,499.7,525.4,Top,0
R7,499.6,522.1,Top,0
R8,506.8,504.6,Top,0
R9,506.8,500.2,Top,0
R10,506.3,476.5,Top,0
R11,506.3,473.1,Top,0
R12,506.8,512,Top,0
R13,506.7,496,Top,0
R14,506.3,483.6,Top,0
R15,506.2,469.26,Top,0
R16,506.8,508.4,Top,0
R17,506.7,492.5,Top,0
R18,506.3,480.2,Top,0
R19,506.2,465.7,Top,0
R20,483.9,525.5,Top,0
PS1,477.14,533.25,Top,0
D1,522.5,518.4,Top,0
C13,478.5,525,Top,180
C14,478.5,519.5,Top,180
IC1,516.4,501.8,Top,0
IC2,517.1,474.6,Top,0
C11,524.3,532.2,Top,0
